Code du département;Code du canton;Inscrits;Exprimés;% Abs/Ins;%BLCNUL/VOT;% Exp/Vot;BC-COM;BC-DIV;BC-DLF;BC-DVD;BC-DVG;BC-EXD;BC-EXG;BC-FG;BC-FN;BC-MDM;BC-PG;BC-RDG;BC-SOC;BC-UC;BC-UD;BC-UDI;BC-UG;BC-UMP;BC-VEC
5;2;7512;3392;48.54;0.1226073460941541;87.74;0.0;0.0;0.0;0.1630306603773585;0.4383844339622642;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3985849056603773;0.0
5;3;7735;3510;49.92;0.0939597315436241;90.6;0.0;0.2056980056980057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4062678062678063;0.0;0.388034188034188;0.0;0.0
5;4;8058;4854;37.34;0.0386215092097445;96.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2039555006180469;0.0;0.0;0.0;0.0;0.0;0.349814585908529;0.0;0.446229913473424;0.0;0.0
5;5;8731;4005;48.87;0.1028225806451613;89.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3278401997503121;0.0;0.4119850187265917;0.0;0.0;0.2601747815230961;0.0
5;6;7279;3193;53.5;0.0567208271787296;94.33;0.0;0.0;0.0;0.2176636392107735;0.0;0.0;0.0;0.1462574381459442;0.2076417162543063;0.0;0.0;0.0;0.0;0.0;0.0;0.1850923896022549;0.2433448167867209;0.0;0.0
5;7;7454;3593;48.63;0.06163489161661;93.84;0.0;0.126913442805455;0.0;0.0;0.0;0.0;0.0;0.0731978847759532;0.232952964096855;0.0;0.0;0.0;0.2852769273587531;0.0;0.0;0.0;0.0;0.2816587809629836;0.0
5;8;7379;3590;47.99;0.0646169880145909;93.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0727019498607242;0.2565459610027855;0.0;0.0;0.0;0.0;0.0;0.3403899721448468;0.0;0.3303621169916435;0.0;0.0
5;9;6596;3315;46.92;0.053127677806341;94.69;0.0;0.1529411764705882;0.0;0.3300150829562594;0.0;0.0;0.0;0.0648567119155354;0.2105580693815988;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2416289592760181;0.0;0.0
5;10;6882;2243;54.2;0.2883883248730964;71.16;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;11;5795;3556;35.32;0.0512273212379935;94.88;0.0;0.0;0.0;0.2145669291338582;0.3203037120359955;0.0;0.0;0.0;0.1841957255343082;0.0;0.0;0.0;0.0;0.0;0.280933633295838;0.0;0.0;0.0;0.0
5;12;9455;4834;42.57;0.1097605893186003;89.02;0.0;0.0;0.0;0.7354158047165908;0.0;0.0;0.0;0.2645841952834092;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;13;6621;3484;38.62;0.1427165354330708;85.73;0.0;0.0;0.0;0.5361653272101033;0.4638346727898966;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;14;7741;4540;36.8;0.0719542109566639;92.8;0.0;0.3024229074889867;0.0;0.2755506607929515;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4220264317180617;0.0;0.0;0.0;0.0
5;15;5611;2891;42.33;0.1066131025957972;89.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2144586648218609;0.0;0.0;0.0;0.0;0.0;0.0;0.5337253545485992;0.0;0.2518159806295399;0.0;0.0
6;1;25917;11348;54.66;0.0342127659574468;96.58;0.0;0.0;0.0;0.0467042650687345;0.1491011632005639;0.0;0.0;0.0665315474092351;0.3491364117025026;0.0;0.0;0.0;0.0;0.0;0.3885266126189637;0.0;0.0;0.0;0.0
6;2;22178;10413;51.1;0.0397454813721873;96.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0606933640641505;0.3201767021991741;0.0;0.0;0.0;0.1264765197349467;0.0;0.4926534140017286;0.0;0.0;0.0;0.0
6;3;23847;11496;50.15;0.0329744279946164;96.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0545407098121085;0.311151704940849;0.0;0.0;0.0;0.1619693806541405;0.0;0.4723382045929019;0.0;0.0;0.0;0.0
6;4;24440;10648;55.02;0.0313836077503866;96.86;0.0;0.0;0.0;0.2095229151014275;0.0;0.0;0.0;0.0877160030052592;0.302404207362885;0.0;0.0;0.0;0.0;0.0;0.4003568745304282;0.0;0.0;0.0;0.0
6;5;28150;13205;51.81;0.0265388868411352;97.35;0.0;0.0;0.0;0.0479363877319197;0.0;0.0;0.0;0.0568723968193866;0.3785687239681938;0.0579326012873911;0.0;0.0;0.0922377887163953;0.0;0.3664521014767133;0.0;0.0;0.0;0.0
6;6;33557;15948;50.76;0.0348583877995642;96.51;0.0;0.0;0.0;0.1190744920993228;0.0;0.0;0.0;0.0565588161524956;0.3543391020817657;0.0;0.0;0.0;0.0;0.0;0.3556558816152496;0.0;0.0;0.0;0.1143717080511663
6;7;29519;13220;53.72;0.0322108345534407;96.78;0.0;0.0;0.0;0.0645234493192133;0.0;0.0;0.0;0.0524205748865355;0.4026475037821482;0.0;0.0;0.0;0.1353252647503782;0.0;0.3450832072617246;0.0;0.0;0.0;0.0
6;8;30332;14278;51.87;0.0219208110700095;97.81;0.0;0.0;0.0292758089368258;0.0;0.0;0.0;0.0;0.0310967922678246;0.285824345146379;0.0;0.0;0.0;0.0885978428351309;0.0;0.0;0.0;0.0;0.5652052108138395;0.0
6;9;32157;14552;52.87;0.0398522037476906;96.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0682380428807036;0.3257971412864211;0.0;0.0;0.0;0.1148295766904892;0.0;0.0;0.0;0.0;0.4911352391423859;0.0
6;10;28974;15308;45.53;0.0300956725590825;96.99;0.3634700810033969;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3348575908021949;0.0;0.0;0.0;0.0;0.0;0.2392213221844787;0.0;0.0;0.0;0.0624510060099294
6;11;31559;14943;50.86;0.0364328088728398;96.36;0.0;0.1851033928929933;0.0;0.1013183430368734;0.0;0.0;0.0;0.0;0.3087064177206718;0.0;0.0;0.0;0.0;0.0;0.4048718463494613;0.0;0.0;0.0;0.0
6;12;28211;13608;50.41;0.0273052180128663;97.27;0.0;0.0991328630217519;0.0;0.0;0.0;0.0;0.0;0.0;0.3159905937683715;0.0;0.0;0.0;0.3258377425044091;0.0;0.2590388007054673;0.0;0.0;0.0;0.0
6;13;30831;15806;46.25;0.0461649870255265;95.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1089459698848538;0.3296216626597494;0.0;0.0;0.0;0.0;0.0;0.5614323674553967;0.0;0.0;0.0;0.0
6;14;32720;14514;53.23;0.0514965364004705;94.85;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0793027421799641;0.3935510541546093;0.0;0.0;0.0;0.100868127325341;0.0;0.4262780763400854;0.0;0.0;0.0;0.0
