CODDPT;CODCAN;CODSUBCOM;CODBURVOT;BC-FG;BC-FN;BC-SOC;BC-UD;BC-UDI;BC-UG
18;6;33;0040;0.0;0.0;0.375;0.625;0.0;0.0
18;6;33;0041;0.0;0.0;0.37666666666666665;0.6233333333333333;0.0;0.0
18;7;55;0001;0.5468277945619335;0.0;0.0;0.45317220543806647;0.0;0.0
18;7;66;0001;0.3992932862190813;0.0;0.0;0.6007067137809188;0.0;0.0
18;7;66;0002;0.28169014084507044;0.0;0.0;0.7183098591549296;0.0;0.0
18;7;133;0001;0.6254826254826255;0.0;0.0;0.3745173745173745;0.0;0.0
18;7;133;0002;0.5359477124183006;0.0;0.0;0.46405228758169936;0.0;0.0
18;7;137;0001;0.5242290748898678;0.0;0.0;0.47577092511013214;0.0;0.0
18;7;157;0001;0.6424870466321243;0.0;0.0;0.35751295336787564;0.0;0.0
18;7;181;0001;0.6394230769230769;0.0;0.0;0.3605769230769231;0.0;0.0
18;7;182;0001;0.4588235294117647;0.0;0.0;0.5411764705882353;0.0;0.0
